Port_ID,ROI,PnL,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,MDD,Score,Rank
3672754654734989568,6.0664556267159296e-05,566.59765978,0.4430379746835443,210,474,0.18372452242866846,-3182243787.8666806,636448871.2182328,97.0
3733192481840423936,5.288870452238546e-06,2923.97719988,0.8026124818577649,553,689,0.06012342941992801,-inf,inf,22.5
3768170840939476993,0.04201746331665214,243.66889897,0.42857142857142855,6,14,0.42403368773117894,0.0,49.11270430992386,148.0
3784403294629753856,0.0007161950640528401,2521.81430468,0.3023140495867769,1829,6050,0.10402801949834525,-inf,inf,22.5
3786761687746711808,7.330495687572697e-06,205.02139999,0.45121951219512196,37,82,0.21428998567854968,-60.701297770000004,53.477642917673876,147.0
3788465932399412480,0.0015752949339303286,13960.96645667,0.44607363962202673,1369,3069,0.15257600630246182,-inf,inf,22.5
3818233536529843712,7.725751035043567e-05,6419.60790714,0.3391977480647431,482,1421,0.15394068416019208,-inf,inf,22.5
3819545518395756033,1.0669601629706229e-05,980.0631999599999,0.38235294117647056,26,68,0.2145739353470927,0.0,196.332027501225,146.0
3826087012661391104,0.0028019605630007303,532.65697373,0.5833333333333334,63,108,0.6737326022393789,-2.943395779095924e+19,5.886791558191848e+18,86.0
3858510226868015873,-1.039118794491097e-05,-280.97295038999994,0.24397590361445784,243,996,-0.014038869102379703,-9247174630782.412,1849434926100.534,93.0
3865845304835489536,0.07919899466585002,1406.06618669,0.5113378684807256,451,882,0.2420468607215792,-26.65175795,286.9101056727736,139.0
3878631538480067329,0.00013936609402903904,3921.23304116,0.5033795802205621,1415,2811,0.15494756972717874,-inf,inf,22.5
3879821005658659073,0.000152595456495829,4268.00656095,0.33142201834862384,289,872,0.13067260344385495,-inf,inf,22.5
3880920727367689984,-3.6832869004227756e-06,-176.82699999000002,0.33793103448275863,49,145,-0.038944508443487194,-8.456391136891479e+31,1.691278227378296e+31,77.0
3886752488982104320,3.610894846075512e-05,7195.17832464,0.745396317053643,931,1249,0.22132871844103924,-inf,inf,22.5
3887577207880438784,0.0052859894130965895,2417.51403674,0.4781818181818182,2893,6050,0.0857108724451063,-inf,inf,22.5
3891020560590657281,6.798005741097196,2856.30056379,0.6475972540045767,283,437,0.4318153572803059,0.0,573.0355964284764,117.0
3907081197088384000,0.03834842754837453,18015.99737026,0.6139714769156394,2540,4137,0.222217840982549,-inf,inf,22.5
3910887259807777281,2.12260618804658e-05,1803.30201001,0.22666666666666666,17,75,0.10825117142505919,-7.1994708362396746e+19,1.439894167247935e+19,85.0
3910983669796782848,0.00010367492679692752,6761.64804825,0.428125,274,640,0.33072552868091,-inf,inf,22.5
3911997667197443328,0.00010674956200691074,605.72231024,0.46875,30,64,0.17267309801983938,-1.0632243334518035e+18,2.1264486669036083e+17,88.0
3914654298562589441,4.288493882798596e-06,343.47044904999996,0.4140786749482402,200,483,0.010822476272934067,-5.491714617353457e+69,1.0983429234706915e+69,51.0
3919174299855478272,4.5945420311952965e-06,1456.3718076199998,0.48066298342541436,609,1267,0.011391635278551328,-inf,inf,22.5
3923766029921022977,6.845409569492223e-06,772.72903189,0.2851469420174742,359,1259,0.07120170038296553,-78956969390.39111,15791394032.8953,95.0
3925368433214965504,2.70650009427846e-05,6789.43673863,0.3333333333333333,486,1458,0.2742831258440933,-1.070041133451569,1358.4228846575263,105.0
3926423286576838657,6.741570539611521e-06,1309.45995959,0.3410041841004184,163,478,0.05007636952641223,-1026834870296.0654,205366974321.3833,94.0
3930688517098515713,6.426712961232311e-06,1947.24457347,0.4861111111111111,140,288,0.06302152056005664,-1.4304206674503618e+27,2.8608413349007238e+26,81.0
3931992636670880512,0.0006798063797304075,10374.96528998,0.40165289256198344,2430,6050,0.05050006487464799,-inf,inf,22.5
3932103299427844097,7.186687179599851e-06,3860.30970535,0.3005021243723445,778,2589,0.08276328819987155,-inf,inf,22.5
3935808725185052672,1.0574493433702405e-05,2301.96412286,0.3510204081632653,602,1715,0.06278261248987856,-inf,inf,22.5
3936410995029308417,2.8449394633615904e-05,10681.514,0.3,6,20,0.29897810232708644,0.0,2136.622601310344,103.0
3937714876784951296,2.843489192022585e-06,1117.5308932100002,0.3933463796477495,201,511,0.016239851956009264,-8.902406459416894e+48,1.780481291883379e+48,61.0
