Port_ID,ROI,PnL,Win_Rate,Win_Positions,Total_Positions,Sharpe_Ratio,MDD,Score,Rank
3987739404272887297,0.02585796223001916,12464.6063154,0.22826446280991736,1381,6050,0.04964038554680326,-inf,inf,22.5
3939925275039085824,0.0022824883950451048,2378.8786707,0.3623481781376518,2148,5928,0.22032268298986177,-inf,inf,22.5
4022641794255717633,0.34844523597670274,2176.83382376,0.43522802379378717,2634,6052,0.5432036803122697,-inf,inf,22.5
3942630767220672256,0.00010772277096689911,6611.89848042,0.3829744415375327,1903,4969,0.06746880637261637,-inf,inf,22.5
3943533600390906881,0.00019948932553774066,2361.42457205,0.5480386583285958,964,1759,0.42489048586191835,-inf,inf,22.5
3944088772635000577,0.00021771696656074443,7581.4919834,0.4575292759360053,2774,6063,0.29674881316464,-inf,inf,22.5
4021669203289716224,1.0523349771355531e-05,26427.33159178,0.31391200951248516,528,1682,0.06820730334689702,-inf,inf,22.5
3949214983441029120,1.6510011912467492e-05,1317.57755896,0.369757174392936,1675,4530,0.05674902785127747,-inf,inf,22.5
4021243448368889856,0.003043390890779782,1498.1937579,0.3785123966942149,2290,6050,0.09088257068219184,-inf,inf,22.5
3951723256343550465,2.8872647528782083e-05,5260.02286389,0.3524804177545692,1215,3447,0.05799568906977391,-inf,inf,22.5
4020204877254599680,5.4892235760837985e-06,71998.85595307,0.3294214876033058,1993,6050,0.060696987581057224,-inf,inf,22.5
4017263283405469185,5.796697733273648e-06,7141.3664193899995,0.336198347107438,2034,6050,0.02983520141790966,-inf,inf,22.5
3960874214179953664,6.322932260491563e-06,19567.47128569,0.5156838143036386,1233,2391,0.16274870486947643,-inf,inf,22.5
3962024093501274881,3.0013804755380474e-06,9314.494060179999,0.26472898664571876,337,1273,0.07396595216401795,-inf,inf,22.5
3966142151544441601,2.086631329544634e-05,4883.80077594,0.5320910973084886,1028,1932,0.05228112220749319,-inf,inf,22.5
3975304792994095360,0.06556442000166374,2536.0810463,0.4265791632485644,1040,2438,0.2600408999885148,-inf,inf,22.5
3975392755164484097,6.1563552365780905e-06,2330.27031414,0.2799343903772553,512,1829,0.09445790833824563,-inf,inf,22.5
3976088733682659585,0.0002256905538188132,5901.15009982,0.43567874911158494,1226,2814,0.14005384815964295,-inf,inf,22.5
3977078013600312321,2.3093992696306637e-05,4622.3514376,0.32642487046632124,1638,5018,0.08865587527988898,-inf,inf,22.5
3977116548751698176,6.646322761517312e-07,603.9805007599999,0.28078817733990147,456,1624,0.02921645691324417,-inf,inf,22.5
